Title,Studio,TotalGross,TotalTheaters,OpeningGross,OpeningTheaters,OpeningDate,Director,MainActor,Rating,Genre,Month
The Santa Clause 3: The Escape Clause,BV,84500122,3458,19504038,3458,11/3/2006,Michael Lembeck,Tim Allen,5,Comedy,11
The Score,Par.,71107711,2211,19018807,2129,7/13/2001,Frank Oz,Robert De Niro,7,Action,7
The Scorpion King,Uni.,91047077,3466,36075875,3444,4/19/2002,Chuck Russell,Dwayne Johnson,5,Action,4
The Second Best Exotic Marigold Hotel,FoxS,33078266,2022,8540370,1573,3/6/2015,John Madden,Judi Dench,6,Drama,3
The Secret Life of Bees,FoxS,37770162,1630,10527799,1591,10/17/2008, Gina Prince-Bythewood, Dakota Fanning,7,Adventure,10
The Secret Life of Pets,Uni.,368384330,4381,104352905,4370,7/8/2016,Chris Renaud,Louis C.K.,6,Adventure,7
The Secret Life of Walter Mitty,Fox,58236838,2922,12765508,2909,12/25/2013,Ben Stiller,Ben Stiller,7,Adventure,12
The Sentinel,Fox,36280697,2851,14367854,2819,4/21/2006,Clark Johnson,Michael Douglas,6,Action,4
The Shack,LG/S,57386418,2888,16172119,2888,3/3/2017,Stuart Hazeldine,Sam Worthington,7,Drama,3
The Shaggy Dog,BV,61123569,3501,16310058,3501,3/10/2006,Brian Robbins,Tim Allen,5,Comedy,3
The Shallows,Sony,55124043,2962,16800868,2962,6/24/2016,Jaume Collet-Serra,Blake Lively,6,Horror,6
The Shape of Water,FoxS,63859435,2341,166564,2,12/1/2017,Guillermo del Toro,Sally Hawkins,7,Drama,12
The Simpsons Movie,Fox,183135014,3926,74036787,3922,7/27/2007,David Silverman,Dan Castellaneta,7,Animation,7
The Sisterhood of the Traveling Pants,WB,39053061,2583,9833340,2583,6/1/2005,Ken Kwapis,Amber Tamblyn,7,Drama,6
The Sisterhood of the Traveling Pants 2,WB,44089964,2714,10678430,2707,8/6/2008, Sanaa Hamri," 
Amber Tamblyn",6,Adventure,8
The Sitter,Fox,30441326,2752,9851435,2750,12/9/2011,David Gordon Green,Jonah Hill,5,Horror,12
The Sixth Sense,BV,293506292,2821,26681262,2161,8/6/1999,M. Night Shyamalan,Bruce Willis,8,Mystery,8
The Skeleton Key,Uni.,47907715,2784,16057945,2771,8/12/2005,Iain Softley,Kate Hudson,7,Drama,8
The Skulls,Uni.,35046120,2416,11034885,2412,3/31/2000,Rob Cohen,Joshua Jackson,6,Crime,3
The Smurfs,Sony,142614158,3427,35611637,3395,7/29/2011,Raja Gosnell,Hank Azaria,6,Animation,7
The Smurfs 2,Sony,71017784,3867,17548389,3866,7/31/2013,Raja Gosnell,Neil Patrick Harris,6,Fantasy,7
The Social Network,Sony,96962694,2921,22445653,2771,10/1/2010,David Fincher," 
Jesse Eisenberg",7,Drama,10
The Soloist,P/DW,31720158,2090,9716458,2024,4/24/2009,Joe Wright,Jamie Foxx,7,Drama,4
The Spiderwick Chronicles,Par.,71195053,3847,19004058,3847,2/14/2008, Mark Waters, Freddie Highmore,6,Adventure,2
The SpongeBob Movie: Sponge Out of Water,Par.,162994032,3680,55365012,3641,2/6/2015,Paul Tibbitt,Tom Kenny,6,Adventure,2
The SpongeBob SquarePants Movie,Par.,85417988,3307,32018216,3212,11/19/2004,Stephen Hillenburg,Tom Kenny,7,Animation,11
